Energi (kal),Protein (g),Lemak (g),Gula (g),Serat (g),Natrium (mg),Grade
356,14.04,0,71.93,1.8,0.02794,C
385,13.85,3.08,60,3.1,0.254,C
378,13.33,0,80,4.4,1.3,C
375,12.5,0,67.86,3.6,0.254,C
345,12.07,0,67.24,1.7,0.18542,C
333,13.33,0,70,3.3,0,C
310,13.79,0.86,60.34,6.9,0.01,C
375,0,0,100,0,0.11684,D
367,10,0,76.67,3.3,1.13284,C
452,12.9,0,96.77,6.4,0.02794,C
324,14.71,0,67.65,5.9,0,C
333,10,0,73.33,13.3,0,C
436,9.09,0.91,74.55,5.5,0,C
371,11.43,0,62.86,11.4,2.75844,C
393,14.29,0,78.57,10.7,99.90582,C
571,25,7.14,25,7.1,0,C
169,5.8,4.5,22.7,0,0,C
633,16.67,10,30,23.3,0,D
583,16.67,6.94,22.22,11.1,0,C
583,19.44,8.33,13.89,13.9,0,C
643,21.43,3.57,14.29,7.1,0.254,C
571,28.57,7.14,17.86,7.1,0,C
571,21.43,5.36,28.57,7.1,0,C
661,21.43,7.14,21.43,17.9,0.54356,C
607,17.86,7.14,21.43,7.1,0.1,C
520,12,4,60,8,0,C
640,16,6,12,8,0,C
530,18.18,6.06,21.21,9.1,0.07112,C
433,13.33,3.33,46.67,6.7,1.54178,C
704,10.56,7.04,14.08,7,1.13284,C
667,26.67,5,20,13.3,1.08966,C
153,4.4,3.9,20,10,1.08966,B
857,0,14.29,0,0,0.58928,E
0,11.6,0,4,0,0.2032,A
857,0,7.14,0,0,0,D
56,11.11,0,5.56,0,0,A
56,11.11,0,5.56,0,0.127,A
333,0,0,86.67,0,0,D
308,25,0,51.92,28.8,0,C
314,22.86,0,57.14,22.9,0.1,C
300,10,3.33,56.67,10,0,C
467,10,10,53.33,6.7,11.176,D
525,7.5,20,60,2.5,0,E
500,26.47,11.76,17.65,8.8,13.54582,C
500,5,17.5,72.5,0,13.26388,E
97,2.9,2.9,9.1,0,0.03302,C
225,10,0,42.5,5,2.29616,B
385,15.38,1.92,65.38,11.5,1.81356,C
385,15.38,1.92,65.38,11.5,0.71882,C
350,12.5,1.25,75,17.5,0.21082,C
341,12.2,0,73.17,9.8,0.09652,C
286,10.71,0,64.29,10.7,0.97028,C
368,13.16,0,76.32,5.3,1.143,C
375,12.5,0,67.5,15,0.9,C
418,12.73,1.82,60,10.9,0,C
370,13.04,0,73.91,17.4,0,C
375,12.5,0,75,12.5,0,C
360,12,0,72,12,0.03048,C
340,14.89,0,72.34,12.8,0,C
360,10,0,78,16,0,C
200,13.33,0,66.67,40,0,B
333,13.33,0,71.11,11.1,0,C
397,20.69,0,68.97,17.2,0.02286,C
365,15.38,1.92,61.54,11.5,0.02794,C
365,15.38,1.92,38.46,11.5,0,C
32,5.2,5.4,1.8,16,0,A
425,17.5,1.25,72.5,12.5,0,C
283,15.22,0,69.57,17.4,0.02032,C
450,17.5,0,75,12.5,0,C
333,6.67,0,77.78,6.7,0,C
356,13.33,0,95.56,2.2,0,C
314,5.88,0,66.67,2,0,C
340,11.11,1.11,73.33,10,0,C
532,6.800000191,18,58,0,3.1,E
354,6.25,0,77.08,6.2,0,C
333,5.88,0,78.43,5.9,0,C
353,7.84,0,78.43,3.9,0,C
356,6.67,0,80,2.2,0,C
400,15.56,0,71.11,13.3,0,C
347,12,0,72,8,0,C
300,0,0,25,0,0,C
500,17.86,3.57,39.29,21.4,0.660000026,C
300,0,0,83.33,10,0,C
396,0.5,0,97,0,0,D
250,2.5,0,62.5,7.5,0,C
536,3.57,28.57,64.29,3.6,0,E
400,9.09,2.73,60,7.3,0.02794,C
375,2.5,0,87.5,2.5,0.01778,C
450,5,12.5,70,2.5,0,E
464,17.86,0,60.71,7.1,0,C
315,18.5,18,1,0,0,C
607,21.43,5.36,32.14,10.7,0,C
225,2.5,0,55,7.5,0,C
607,21.43,5.36,32.14,10.7,0,C
291,2.2,0,70.4,1.9,0.1143,C
350,2.5,0,90,7.5,1.9685,C
300,2.5,0,75,7.5,1.016,C
300,2.5,0,72.5,5,0.635,C
250,3.75,0,65,5,1.2,C
325,2.5,0,75,5,1.45034,C
857,0,85.71,0,0,0.0635,E
347,8.16,0,77.55,4.1,0,C
360,8,0,82,0,0.0127,C
375,0,0,100,0,0,D
568,24.32,6.76,21.62,5.4,0,C
600,20,3.33,20,13.3,0,C
704,7.04,7.04,14.08,7,0,C
574,14.71,8.82,32.35,2.9,0.0635,D
425,17.5,0,75,7.5,0,C
203,28,0,44,0,0,C
38,1.28,0,8.97,2.6,0,A
467,5.7,16,56,0,0,E
301,9.4,2.4,52,0,0,C
367,0.6,0,91,0,0,D
456,4.7,9.1,74,0,0,E
580,3,36,58,0,0.0381,E
384,29.2,5.6,32.5,0,0.0127,D
146,12.8,1.3,3.7,0,0,A
396,0,0,99,0,0.19558,D
400,2.9,3.8,51,0,0,D
823,0,12.6,0,0,0.47,E
500,0,0,0,0,0.1,C
484,1.3,13,64,3.5,0.38,E
461,3,1.5,80,0,0.5,D
0,6.8,0.9,15.3,0.5,0.54,A
0,4.4,2.1,12.5,1.8,0.73,B
352,2.5,4.9,72.2,0,0,D
290,22,7,23,2,0.75,C
460,10,1.3,68,0,0.0025,D
25,0,0,6,0,0,B
393,0.2,0.4,97,0,0,D
284,3.1,9.3,42.8,0,0,E
541,6.4,16,59,0,0.04,E
529,7.2,18,59,0,0.7,E
505,6.4,16,64,0,0.6,E
479,4,11,69,0,6.8,E
899,0,0,0,0,2.16,C
823,0,12,0,0,0.08,E
284,3.1,9.3,42.8,0,0,E
363,4.79,0,54.1,2.05,0.31,C
71,6.7,1.1,4.4,0,0.23,A
1,0.1,0,0.2,0,0.58,B
222,0.8,0,50.8,0,2.3,D
