Energi (kal),Protein (g),Lemak (g),Gula (g),Serat (g),Natrium (mg),Grade
98.94,7.07,0.35,15.19,0.71,1.64,A
127.2084806,4.946996466,1.413427562,19.08127208,1.413427562,0.6075,B
91.87279152,4.946996466,1.413427562,13.07420495,5.300353357,0.7308,A
99,7.76,1.23,10.93,1.8,0.725,A
238.8888889,8.888888889,4.444444444,23.33333333,1.666666667,0.707070707,C
98.9010989,6.593406593,1.465201465,10.98901099,0.732600733,0.5225,A
120.4188482,4.712041885,0.916230366,19.63350785,0.523560209,0.535,C
112,6.76,1.18,13.24,1.2,0.64159292,A
128,7.66,1.91,13.19,0.4,0.55,B
103,3.86,0.48,17.04,4.2,0.6775,A
107,7.25,0.57,16.03,0.8,0.54,A
106,4.59,1.41,16.96,0.7,0.63,B
112.4,6.98,0.78,17.05,0.8,0.5099,A
100.37,4.83,0.74,15.99,1.12,0.6225,B
176.6784452,6.360424028,2.826855124,18.02120141,0.706713781,0.4052,C
129,8.24,1.18,16.47,1.2,0.6675,A
94,3.14,0.98,15.69,1.2,0.49,B
133,6.22,2.22,14.7,0,0.545,C
156,6.22,2.67,16,0.4,0.6074,C
135,10.26,2.88,5.77,0.6,0.5559,A
84.07,3.98,1.33,9.29,0.88,0.643153527,B
134,5.47,1.99,20.4,1,1875,D
114,7.63,2.97,11.02,0.8,0.754716981,B
131.3131313,6.818181818,1.262626263,16.66666667,1.262626263,0.485,B
136,7.2,2.12,13.98,0.4,0.6275,B
117,5.21,1.53,15.95,0.9,0.759,B
132,4.71,0.88,21.47,5.6,0.8625,A
112,6.94,0.24,17.94,1.4,0.779,A
70.67137809,4.593639576,0.706713781,7.067137809,0,1.3375,A
105,4.67,1.95,13.23,1.2,0.54,B
114,6.73,1.68,13.8,1.3,0.52,B
144,6.78,2.12,14.41,0.4,0.51,B
123.8095238,4.285714286,1.904761905,18.57142857,1.904761905,0.55,B
112.6760563,6.103286385,1.643192488,14.08450704,1.408450704,0.6475,B
139,7.66,2.15,18.18,1,0.5075,B
113.0742,7.4205,0.8834,14.841,1.0601,0.58303875,A
149,5.53,2.55,14.89,1.3,0.5,B
153,9.41,4.71,5.88,1.2,0.5579095,B
141.4141414,7.070707071,0.757575758,19.19191919,1.01010101,0.54,B
106.0070671,6.360424028,0.530035336,13.42756184,1.4,0.53,A
180.2120141,5.300353357,2.826855124,15.54770318,1.060070671,0.4175,C
138.26,6.43,0.32,26.37,1.29,0.795,B
108.6956522,4.710144928,0.362318841,18.11594203,0.724637681,0.25,B
117,7.07,0.88,16.25,1.1,0.5775,A
151,7.55,3.3,13.68,0.9,0.5834,B
115.755627,4.180064309,0.482315113,20.25723473,0.643086817,0.600706714,C
121.21,7.36,2.16,14.72,1.3,0.795053004,B
122.36,7.17,1.27,13.5,0.42,0.3175,B
126.34,5.65,1.08,15.86,1.08,1.347222222,B
101.7699115,5.309734513,0.221238938,17.25663717,2.212389381,0.705128205,A
131.4741,8.7649,1.992,12.3506,0,1.12565445,A
111,6.57,0.38,18.94,2.5,0.565,A
129.03,6.05,0.81,20.16,1.21,1.065,B
114,4.57,2.74,13.7,0.9,0.675,C
118.9711,5.4662,0.4823,17.3633,1.2862,0.5725,B
137.254902,6.666666667,0.784313725,19.60784314,1.176470588,0.495,B
92,6.99,0.18,13.97,1.5,0.6005,A
157,5.81,2.53,17.17,1.3,0.5004,B
132,4.11,4.11,10.96,0.9,636.0424028,D
116.8831169,6.818181818,1.298701299,17.85714286,0.974025974,1.0875,B
171.7171717,9.427609428,3.703703704,17.50841751,2.02020202,0.6475,B
133,5.26,0.93,21.36,0.9,0.391,B
109,5.14,1.13,17.68,1,0.9775,B
91,8.08,1.01,10.61,1,0.8025,A
69,6.93,0.53,8,1.3,0.8092,A
103,6.47,1.03,12.35,1.5,0.845,A
133,4.56,2.49,14.52,0.4,0.805,C
121.9512195,7.317073171,1.62601626,5.691056911,0,0.751262626,A
133.3333333,5.882352941,1.37254902,12.15686275,0.392156863,0.785,B
135.5932203,7.90960452,1.97740113,13.55932203,0.564971751,0.645,B
135.9649123,5.701754386,2.631578947,14.03508772,0.438596491,0.5225,C
132,6.61,2.64,14.54,1.3,0.575,B
255.5555556,7.777777778,3.333333333,31.11111111,0,0.636042403,C
99.67845659,6.752411576,0.321543408,15.11254019,1.286173633,0.7975,A
149,5.96,2.55,14.89,0.9,0.59,B
96.65427509,6.691449814,0.557620818,13.38289963,0.743494424,0.7725,A
134,7.18,0.72,16.75,1.9,0.619047619,A
90,2.75,1.37,14.51,1.2,0.657276995,C
120,6.67,1.78,11.56,0.4,0.8125,B
115,7.06,0.29,17.65,1.5,0.71554775,A
116,8.3,1.45,13.69,1.2,0.84,A
206,4.9,4.9,13.73,0.5,0.94,C
111.76,7.06,0.3,17.65,1.47,0.858585859,A
87.55760369,5.069124424,1.152073733,8.755760369,0,0.724381625,B
106,7.08,0.885,15.5,0.885,0.874558304,A
80,7.08,0.94,8.49,1.4,0.539,A
193,10.71,2.5,17.86,1.4,0.697463768,B
101.0452962,5.574912892,1.742160279,6.271777003,6,0.635,A
110,3.77,1.57,17.3,3.1,0.79,A
141,5.88,3.53,15.29,0.6,0.739549839,C
120,8.48,0.71,13.07,2.5,0.9236,A
69.2,6.29,0.314,8.18,2.2,0.9538,A
173,6.82,4.09,12.73,0.5,0.5599,C
134,7.06,3.35,13,1.49,0.121681416,B
141.3427562,8.127208481,4.593639576,6.360424028,0,0.9661355,B
122,10.9,2.56,5.77,0.6,0.5925,A
134.2756184,4.946996466,1.236749117,23.32155477,0,0.6657,C
100,7.06,0.88,12.94,0.6,0.73,A
88,6.82,0.63,10.61,1.3,0.5546625,A
123.8938053,7.96460177,1.991150442,15.48672566,0.9,0.68627451,B
183.0065359,5.882352941,3.267973856,16.33986928,1.307189542,0.46,C
136,6.25,2.45,16.6,0.543,0.7125,C
179,11.32,1.89,26.42,1.9,1.2225,B
109,4.18,1.05,17.15,0.8,0.649350649,B
124,7.42,2.12,14.13,1.1,0.732323232,B
159.0909091,9.595959596,3.03030303,15.90909091,0.505050505,0.6575,B
124,5.65,2.12,15.19,1.4,0.4575,B
104,6.32,0.93,12.27,1.1,0.87,A
88.33922261,6.360424028,0.35335689,12.01413428,0,0.5,B
121,5,1.46,17.08,2.1,0.5725,A
96,5.58,1.59,8.37,0.4,1.14,B
120,4.72,1.07,17.17,1.3,1.219512195,B
160.1731602,6.926406926,3.896103896,18.61471861,0.865800866,1.039215686,C
159,11.5,1.33,23.89,0.9,0.918079096,B
84.2,6.32,0.526,11.6,2.46,0.953947368,A
115.1832461,6.020942408,1.047120419,17.80104712,0.523560209,1.135,B
88,5.29,1.18,10.29,0.9,1.75,B
133,7.11,1.78,19.11,0.4,0.554662379,B
99.67845659,4.501607717,1.286173633,13.82636656,0,0.7775,C
97.64309764,6.734006734,0.673400673,13.8047138,1.346801347,0,A
91,3.54,0,17.17,1.5,0.7425,B
144,9.45,3.48,7.96,1,0.6275,A
140,7.63,1.91,13.14,0.8,0.79,A
116,6.61,1.45,12.81,0.4,0.56,B
130.1115242,6.319702602,2.602230483,15.555555,1.115241636,0.7375,B
300,14,2.5,40,2,1.055,C
138,5.78,2.67,13.33,0.4,0.22,B
115,6.69,0.56,18.96,0.7,0.69124424,B
88,10.18,1.55,5.31,0.9,0.564,A
100,6.896551724,0.517241379,13.44827586,0.689655172,0.6475,A
106,5.71,1.43,13.47,1.2,0.84,B
124,5.58,2.79,12.75,1.2,0.722996516,B
101,6.57,1.26,11.62,1.3,0.455,A
229,12.35,1.76,32.35,1.8,0.72,C
224,12.94,1.76,32.35,1.2,0.5025,C
126,4.49,2.69,14.37,1.8,0.511,B
127,6.09,2.54,14.72,1,0.8625,B
94,4.71,0.2,16.47,2,1.05,B
206,10.59,2.06,28.24,1.2,0.803886926,C
118,5.49,0.59,18.04,1.2,0.9125,B
126,6.51,2.09,13.95,1.4,0.90459364,B
114,5.49,1.69,14.77,1.3,0.58,B
137,6.19,0.88,18.58,0.9,0.58,B
78,5.1,0.59,11.76,0.8,0.884955752,A
229,11.76,1.76,34.12,1.8,0.833333333,C
142,6.22,3.11,15.11,0.4,0.836,C
223,10.33,2.17,33.15,1.1,1.18,C
101,4.66,1.37,12.88,1.1,0.67,B
123.53,6.18,1.18,11.47,0.59,0.6175,B
115,5.88,1.76,11.18,0.6,0.782828283,B
123.53,6.18,2.35,12.06,0.59,0.6525,B
124,5.59,2.65,13.53,0.9,0.7525,B
229,10.59,3.53,28.82,2.4,0.600706714,C
247,11.76,4.12,27.65,2.4,0.8025,C
124,7.51,2.65,9.27,0.9,1.185,B
139.07,8.61,3.09,9.49,0.66,0.5475,B
127,6.57,1.46,13.63,1,1.017316017,B
129,5.05,1.01,16.67,0.8,1.4375,B
179,7.53,3.06,17.18,0.9,0.5,C
88,6.18,0.44,12.94,0.9,0.706806283,A
114.4781,8.0808,1.1785,14.8148,0,0.7275,B
193,5.47,2.89,24.76,0.3,0.81,C
147,7.06,2.94,14.12,0,0.643086817,B
146.1538462,11.53846154,3.846153846,9.230769231,0,0.63973064,B
127.9461279,7.407407407,2.356902357,15.82491582,0,0.91,B
83.3,4.71,0.725,12.3,2.17,0.895,A
78,2.84,0.355,11.3,0.709,0.91,B
141,6.75,3.54,15.11,0.3,0.8575,C
154.04,9.09,3.28,14.65,0.51,0.604089219,B
289.4736842,7.894736842,5.921052632,30.26315789,1.3,1.975,C
91,5.05,1.52,8.59,1.3,0.8325,A
96.86,5.76,1.83,9.42,1.05,0.67,B
113,4.95,1.41,17.31,1.4,0.63,B
112,6.76,0.74,16.47,1.5,0.560344828,A
159.0909091,9.595959596,3.03030303,15.90909091,0.505050505,0.705,B
79,6.18,0.88,8.24,0.9,1.055,A
116.2790698,6.976744186,0.775193798,17.05426357,0.775193798,0.605,A
12.45791246,8.417508418,0.841750842,14.81481481,0,0.4125,A
282.0512821,8.974358974,5.128205128,30.76923077,0,0.795,C
110,4.95,0.353,18.7,0.707,0.7775,B
258.2417582,10.98901099,4.395604396,22.52747253,0,0.94,C
247,10.59,3.53,30.59,2.9,0.56,C
131,8.59,1.01,18.69,1,0.735,B
129,5.41,2.7,12.3,0.601,0.5975,B
115,4.86,1.99,15.01,1.1,0.71,B
140,7,0,22,1,0.7375,B
132,5.73,2.2,16.3,1.3,0.5425,B
123.6749,8.4806,2.1201,13.0742,0,0.6375,B
97.64309764,4.713804714,1.178451178,12.79461279,0,0.8525,B
123,3.37,0.61,19.63,4.3,1.01,A
350,25,1.5,46,5,0.68,C
120,6.64,0.21,18.26,1.7,0.6025,A
108.8235294,3.529411765,0.294117647,18.82352941,0,0.7321,C
223.5294,10.5882,4.1176,24.7059,0,0.5875,C
241,18.2,5.29,13.5,9.41,0.7321,B
92,4.24,0.53,14.84,1.1,0.7875,B
127,7.51,2.82,13.62,0.9,0.9275,B
137,5.19,1.89,20.28,0.9,1,B
98,4.31,1.18,14.9,1.6,0.7275,B
290,17,1,45,0.8,0.8186,C
260,18,3,27,0.8,0.6025,C
106,5.49,0.2,18.82,0.8,0.625,B
188,10,2.35,24.71,1.2,0.6875,C
110.2941176,5.147058824,0.551470588,19.48529412,2.205882353,0.6475,A
109,6.52,0.54,15.58,1.8,0.5218855,A
134,8.13,2.03,12.2,0.8,0.675,A
123,7.05,1.98,15.42,0.9,0.8525,B
138,10.06,3.14,6.92,1.3,1.173076923,A
99,4.95,0.53,12.37,2.1,1.01010101,A
98,9.41,0.35,10.45,1.7,0.507,A
108,8.71,0.35,13.94,1.7,0.691,A
116,7.72,0.32,16.08,2.3,0.74,A
117,5.22,1.52,15.22,0.9,0.7954,B
138,5.47,1.45,18.65,1.3,1.118421053,B
106,4.71,0.59,16.86,0.8,0.5425,B
212,13.27,1.33,23.01,1.8,0.8312,B
159,6.19,1.77,18.58,1.8,0.485,B
168,8.85,1.33,19.47,0.9,0.56,B
101,3.49,0.78,15.5,1.9,0.782828283,B
110,4.71,1.37,16.08,1.6,0.5375,B
125.5813953,7.441860465,2.093023256,13.95348837,0.930232558,0.610465116,B
148.989899,8.080808081,2.272727273,16.66666667,0,0.589225589,B
146.4646465,7.575757576,3.787878788,14.8989899,0,1.442307692,C
144,6.4,2.8,15.2,0.8,0.671,B
83,3.73,1.24,13.28,1.2,1.510989011,B
146.7889908,7.798165138,2.752293578,13.76146789,0.458715596,1,B
100,6.77,0.2,16.33,0.8,1.2875,A
138,7.07,4.59,5.65,1.77,0.773,B
132,7.93,2.64,13.66,1.3,0.68,B
111,4.1,1.43,16.39,1.2,3,B
75,5,0.1563,12.1875,0,1.0125,A
259.0361446,10.84337349,5.421686747,24.69879518,1.204819277,0.6183745,C
155.2511416,6.849315068,3.652968037,10.95890411,0.913242009,0.664983165,B
94,2.35,0.88,15.88,1.2,0.7275,B
103,9.06,0.3,11.48,1.5,0,A
97.05882353,7.058823529,0.735294118,12.94117647,0,0.5075,A
126,9.09,0.51,16.67,0.5,0.330882353,A
238,7.94,4.76,29.4,0.794,1.29411775,C
200,11.8,2.06,25.9,1.76,1.16,B
144,8.24,0.88,14.41,2.1,0.53,A
144,8.64,3.14,13.61,0.8,0.95,B
137,8.24,3.53,8.63,0.8,0.8725,A
151,3.6,6.12,11.51,0.7,0.56,C
135,5.29,2.65,14.71,0.6,0.7,C
142,6.22,3.11,13.78,0.4,1.5,C
118,4.71,2.06,12.94,1.2,0.6675,B
133.3333333,5.490196078,0.588235294,21.96078431,0.784313725,0.94,B
126,5.12,2.09,16.74,1.9,0.46875,B
150,6.87,3,13.3,0.4,0.47,B
134.28,7.07,2.47,12.72,0,0.8425,B
103.8961,6.1688,1.1364,13.3117,0,0.77,B
116,7.07,1.13,13.83,3.5,1.0225,A
294.8717949,7.692307692,5.769230769,30.76923077,1.282051282,0.2375,C
87.10801394,7.665505226,0.696864111,7.317073171,0,0.295,A
127,7.77,1.77,15.19,1.1,0.375,B
133.3333333,5.490196078,0.588235294,21.96078431,0.784313725,0.4175,B
112.2449,5.78231,3.06122,5.78231,1.36054,0.805,B
128,7.66,1.91,13.19,0.4,0.7475,B
110.3448276,6.206896552,0.172413793,17.5862069,0,0.51,B
193.1818182,10.22727273,2.556818182,23.29545455,0,1.04,C
118,3.21,1.07,19.64,1.4,0.9525,B
109,3.23,1.01,18.55,1.6,0.93,B
135,3.22,0.32,26.37,1.9,0.59,B
142,6.22,3.11,15.56,0.4,0.6775,C
300,10,8,32,0,0.988372093,D
132,7.36,0.92,17.18,1.8,0.953282828,A
130,7.25,0.72,17.75,1.1,0.795454545,A
110.1694915,7.627118644,1.694915254,11.29943503,0,0.96,B
84.8,4.95,0.883,13.1,1.77,0.6125,A
81,5.26,0.24,12.44,1.4,1.158256881,A
132,7.4,0.8,21.22,3.2,0.5675,A
126,1.57,0,25.2,1.6,0.689,C
62,2.49,0.62,10.37,1.7,0.9575,A
184,8.83,0.88,30.39,2.5,0.7375,B
98.03921569,3.921568627,1.568627451,12.94117647,0,0.6796875,B
146,6.21,1.55,20.81,2.5,1.56626506,B
170,5.36,3.12,13.84,0.4,0.98173516,C
138,5.8,2.68,14.73,1.3,0.235,B
106,5.29,1.76,13.53,1.2,0.5975,B
133,7.05,1.04,19.92,2.1,0.580882353,A
129,8.24,1.18,16.47,1.2,1.06,A
74.5,5.88,0.392,9.41,1.18,0,A
159,11.5,3.1,13.3,0,0.853,B
130.6122449,6.530612245,1.428571429,16.73469388,0.816326531,0.4775,B
133,6.22,0.62,19.5,2.1,0.7275,A
101.9607843,4.31372549,0.980392157,13.7254902,0,0.765,B
110,4.59,1.59,16.61,1.1,1.1775,B
144,6.47,2.94,14.41,0.9,0.97,B
78,4.95,1.41,7.77,1.1,0.8775,A
237.5,7.5,2.5,22.5,1.25,0.8675,C
149,8.46,3.48,8.46,1,0.81372549,A
141,5.88,3.53,15.29,0.6,0.71,C
135,5.88,2.94,13.53,0,0.825,C
135.0482315,6.430868167,2.893890675,16.07717042,0,0.69,B
131,6.82,2.53,11.87,1.3,0.67370125,B
179,11.32,1.89,26.42,1.9,0.6025,B
107,5.37,1.65,14.46,0.8,2.179487179,B
215.3846154,13.84615385,7.692307692,9.230769231,0.769230769,0.705574913,C
93,4.5,1.2,13.81,1.2,0.645,B
99,6.93,0.8,12.8,1.3,0.81372549,A
108,8.68,1.05,11.98,0.9,0.67177,A
113.97,4.41,0.74,19.12,1.1,1.065,B
137,5.48,1.6,20.09,1.8,0.681034483,B
214,11.5,3.65,20.3,3.12,0.852272727,B
300,22,0,26,3,0.5175,A
106.0070671,5.300353357,1.413427562,14.8409894,0.4,0.695,B
137,4.42,1.33,22.57,1.8,0.8525,C
135,6.52,1.52,11.3,0.9,0.8775,A
241.1764706,10.58823529,4.705882353,22.94117647,0,1,C
102.4096,5.7229,1.0542,15.0602,1.2048,0.515,B
80,6.13,0.47,8.02,1.4,0.59,A
144.88,7.07,2.12,14.13,1.06,0.967514124,B
85,5.3,0.53,11.66,0.7,0.486,A
340,20,3.5,42,4,0.515,C
110.3896104,4.87012987,0.324675325,18.83116883,0.974025974,0.49,B
129,7.84,3.14,7.84,0.8,0.7875,B
117,5.69,0.45,17.07,1.5,0.705,A
151,6.22,2.67,16,0.9,0.565,B
259.0361446,10.84337349,5.421686747,24.69879518,1.204819277,0.803921569,C
102,4.95,0.883,16.3,3.18,0.5675,A
250,7.5,5.833333333,30,0.833333333,1.095,C
107.0110701,8.118081181,1.660516605,9.594095941,0,0.86,A
181,6.56,4.63,15.83,0.4,0.955,C
63.63636364,3.181818182,0.909090909,9.090909091,0.909090909,0.685,B
159.0106007,5.653710247,2.826855124,20.14134276,0.35335689,1.1175,C
142.2222222,6.222222222,2.666666667,15.11111111,0.444444444,0.637,C
212,10.6,7.52,15,0,0.929,C
100,5.71,0.714,13.6,0,0.744897959,B
106,6.18,0.88,14.71,1.2,0.4875,B
91,7.55,1.51,7.92,0.8,0.647058824,A
169.0141,7.98,3.7559,14.0845,0.939,0.5575,C
108.7866109,5.439330544,1.464435146,14.64435146,1.255230126,0.6775,B
103,5.47,1.45,13.8,0.965,0.6,B
119,7.43,0.5,13.86,1,1.5625,A
129,6.75,0.96,17.04,3.9,0.9325,A
94.11764706,2.745098039,1.37254902,14.11764706,0,0.8225,C
84,7.07,0.51,11.78,1,0.81,A
105.8823529,6.176470588,0.735294118,14.70588235,0,0.635048232,B
147,5.29,2.94,13.53,1.2,0.8525,B
155.2511416,6.849315068,3.652968037,10.95890411,0.913242009,1.18,B
118,7.84,0.98,15.69,0.8,0.62,A
138.2637,6.4309,4.8232,6.1093,0,1.557692308,B
127,8.29,0.73,14.63,1.5,0.555,A
192.6605505,5.504587156,4.128440367,17.88990826,0.917431193,0.6275,C
128,8.85,2.65,8.85,0.9,0.635,A
188,8.24,2.06,27.06,1.8,0.6257,C
153.4884,7.907,3.2558,13.9535,0.9302,0.6975,B
91,9.09,1.01,8.59,1,0.846,A
111.52416,6.69145,0.74349,16.35688,1.11524,0,A
95,4.24,1.24,15.19,0.7,0.556537102,B
122,5.85,1.71,16.1,1.5,0.7625,B
72.2892,5.6225,0.8032,8.8353,0,0.88,A
119,5.11,1.91,14.89,1.3,1.323529412,B
122,7.34,1.9,14.13,2.2,0.57228925,A
148,5.74,0.72,21.05,1,0.3775,B
123.8938053,7.96460177,1.991150442,15.48672566,0.442477876,0.6731,B
153,8.24,4.12,5.88,1.2,0.6,B
113,6.99,1.08,13.17,1.1,0,A
111,6.19,1.77,15.49,0.4,0.673701299,B
86.95652174,5.797101449,0.724637681,12.31884058,2.173913043,0.775,A
168,11.5,1.33,23.89,0.9,0.5925,B
219.2513369,10.16042781,3.20855615,27.27272727,2.673796791,0.8775,C
84,6.19,0.99,9.16,0.7,1.56626506,A
115,7.06,0.29,17.65,1.5,0.504,A
125,3.12,3.12,9.38,0,1.0625,C
229.4117647,10.58823529,4.705882353,24.11764706,0,0.479704797,C
116,6.75,1.29,12.22,3.9,1.41,A
129,8.24,1.18,16.47,1.2,0.852272727,A
276.4705882,17.64705882,7.058823529,13.52941176,9.411764706,0.954063604,C
110.619469,4.424778761,1.10619469,17.69911504,1.769911504,0.944444444,B
141.4141,7.0707,3.0303,13.6364,0,0.487,C
107,6.44,0.86,14.16,0.9,0.616,A
132,6.18,2.65,14.41,1.5,0.6975,B
118.69,5.81,2.02,12.88,0.76,0.755,B
82.98755187,7.053941909,1.452282158,8.298755187,0.8,0.915493,A
152,6.4,3.2,16.8,0.4,0.711297071,C
152,6.4,3.2,16.8,0.4,0.627,C
161,7.45,3.92,18.82,0.4,0.5325,C
85,8.02,0.47,9.43,1.4,0.49,A
167,5.81,3.03,15.91,1.3,0.803921569,C
128,3.98,1.33,18.58,2.7,0.6575,B
99,4.2,1.15,14.5,7.6,0.705882353,A
195,14.2,4.42,11.5,0,0.97,C
118,3.53,0.88,18.24,1.2,0.98173516,B
110,5.3,0.71,14.84,1.4,0.8325,A
92,5.3,1.24,10.25,0.7,0.65916,B
138.2636656,6.430868167,4.823151125,6.109324759,0,0.6225,B
241.6666667,6.666666667,5,28.33333333,0.833333333,0.745412844,C
98,6.94,0.64,14.14,1.8,0.8625,A
134.375,6.25,1.09375,19.0625,0.9375,0.8975,B
101,5.91,1.27,11.81,0.8,0.79069775,B
119,5.76,1.85,15.23,1.6,0.745,B
99.2908,8.8652,1.5957,10.2837,0,0.70632,A
145,6.75,1.45,22.83,2.6,0.575,B
248.6187845,11.04972376,3.867403315,29.28176796,2.762430939,0.865,C
212,8.83,3.18,27.56,2.1,0.57228925,C
149.4252874,2.298850575,1.149425287,17.24137931,2.298850575,0.67,B
238.8888889,8.888888889,4.444444444,23.33333333,1.666666667,0.5425,C
74.57627119,3.050847458,0,11.86440678,1.355932203,0.5975,B
699,7.1,63,9.6,0,0.884955752,D
565,10.1,25.4,43,3.3,1.295,D
624,24.6,70,137,6.4,0.5975,D
44,0.1,0.1,10.4,0,0.7625,B
251,27.2,6,0.5,0.5,0.516304348,C
168,19,4.5,0.5,0,1.4375,B
81,14.4,0.7,1.5,1.8,0.882352941,A
455,11.1,10.9,63.3,2.7,0.595,D
875,0,7.7,0.1,0,0.56,D
101,4.71,0,13.5,0.673,1.405,B
619,26.39999962,6,10.10000038,9.100000381,1.308823529,C
123.8938053,7.96460177,1.991150442,15.48672566,0.442477876,0.555,B
528,9.9,13.2,0,4,1.1175,C
450,12.7,2.6,61.7,4.8,1.441176471,C
141.1764706,7.647058824,0,24.70588235,2.941176471,0.730088496,A
4333.333333,166.6666667,133.3333333,0,0,0.9343435,D
363.6363636,0,0,72.72727273,54.54545455,0.6125,C
333,0,0,83.3,66.7,0.69,C
0,0,0,0,0,0.8082,B
401.3605442,68.02721088,0,17.00680272,6.802721088,0.902489627,A
333.3333333,16.66666667,0,66.66666667,0,1.01,C
421,5.2,10,45.9,1.5,1.01,E
419,9.1,1.9,66.9,8.9,0.695,C
607,13,34.8,18.3,13.4,0.53,D
371,0,0,85.71,0,0.8025,D
67,0,0,15.83,0,0.6075,C
108,0,0,26.67,0,0.6675,C
357.1428571,7.142857143,0,82.14285714,7.142857143,1.37,C
392.8571429,7.142857143,3.571428571,71.42857143,7.142857143,0.28,C
392.8571429,10.71428571,0,75,3.571428571,0.575,C
357,10.71,0,75,3.6,0.7325,C
393,14.29,0,75,3.6,0.659163987,C
357,10.71,0,75,3.6,0.833333333,C
48.38709677,0,1.612903226,6.451612903,0,0.605,B
464.2857143,7.142857143,8.928571429,64.28571429,7.142857143,0.5078125,D
40,1.61,0,6.45,0,0.78,B
643,14.29,14.29,28.57,0,0.7,E
388,8,0,80,4,0.57624125,C
545,4.55,20.45,59.09,2.3,0.6275,E
550,5,20,60,2.5,1.256906077,E
550,5,20,60,2.5,0.8125,E
554,3.57,19.64,57.14,1.8,1.408045977,E
550,5,20,60,2.5,1.347222222,E
556,5.56,19.44,58.33,2.8,0,E
575,7.5,22.5,55,2.5,0.23,E
575,7.5,22.5,55,2.5,1.7,E
556,5.56,19.44,58.33,2.8,0.63,E
214,18.75,6.25,0,0,0.1,C
250,10.86956522,6.52173913,22.82608696,1.086956522,4.6,C
355,13,0.3,70,0,1.7,C
222,12.5,0,72,0,4.09,C
357.1428571,12.5,0,69.64285714,3.571428571,1.6,C
417,16.67,0,16.67,0,0,C
300,3.333333333,3.333333333,3.333333333,0,0,C
200,13.33333333,2,0,0,0,A
233.3333333,3.333333333,11.66666667,3.333333333,0,0,C
404.7619048,10.71428571,13.0952381,50,1.19047619,1.93,E
404.7619048,10.71428571,13.0952381,50,1.19047619,1.24,E
440.4761905,13.0952381,14.28571429,53.57142857,0,0.808823529,E
489,10,13.33,58.89,1.1,0,E
377,9.3,6.9,26,0,0,C
307,2.4,4.3,20.9,0,0,C
55,2.1,0.3,9.1,0,0,B
107.1428571,21.42857143,0.446428571,1.785714286,0,2.040816327,A
143,17.86,2.23,0,0,0,A
11,26,0,0,0,0.45,A
132.7433628,17.69911504,0.884955752,3.539823009,0.884955752,1.38,A
98.21428571,23.21428571,0,0,0,0,A
98.21428571,23.21428571,0,0,0,0.6425,A
188.2352941,21.17647059,3.529411765,0,0,0,B
194,20.43,3.23,1.08,0,0,B
119.047619,22.61904762,0,2.380952381,0,0,A
177,14.58,1.04,17.71,0,4.732142857,B
193.5483871,16.12903226,1.612903226,19.35483871,0,4.910714286,B
111,21.48,0.37,2.96,0,4.7325,A
143,21.4,1.79,1.19,0,4.26466,A
130.952381,25,0,2.380952381,1.19047619,3.9275,A
119.047619,25,0,1.19047619,0,1.048387097,A
39,1.1,0.4,3.7,0,1.785714286,B
33,0,0,10,3.3,1.21,A
459.3639576,0,8.833922261,7.067137809,7.067137809,1.4275,C
375,5,11.25,65,0,4.6,E
375,5,2.5,65,0,0.3175,D
157.8947368,0,0,42.10526316,0,0.25,C
157.8947368,0,0,42.10526316,0,0.3125,C
100,0,0,26.67,0,0.3125,C
105.2631579,0,0,31.57894737,5.263157895,0.3125,C
400,16,2,70,4,0.3125,C
400,16,2,70,4,0.22,C
400,16,2,70,4,0.22,C
400,16,2,70,4,0.2775,C
200,20,0,20,0,0.145,B
250,16.67,0,33.33,0,0.923913043,C
250,0,0,33.33,0,0.02,C
423,17.1,3.5,66,5,0,C
0,0,0,0,0,0,B
0,0,0,0,0,7.0825,B
560,26,3,32,28,2.25,C
333,0,0,66.67,0,19.5,D
800,0,13.33,0,0,6,E
233,0,0,53.33,0,2.678571429,D
800,0,13.33,0,0,2.678571429,E
6,0,0,1.69,0,3.37797619,B
6,0,0,1.69,0,3.2775,B
4,0.85,0,1.69,0,2.88,B
6.355932203,0,0,1.694915254,0,3.3,B
533.3333333,6.666666667,20,60,0,0.019,E
150,2,6,15,1,1.40625,C
484,4.84,2.42,48.39,1.6,0.145,D
500,0,0,100,0,0.1375,D
9.85915493,0,0,2.535211268,0,1.084070796,B
19.7740113,0,0,4.519774011,0,0.122767857,B
16.90140845,0,0,4.507042254,0,0.122767857,B
9.86,0,0,2.54,0,2.205882353,B
19,1.04,0,3.21,0,1.4525,B
338,0,0,77.5,5,1.428571429,C
25,0,0,5.42,0,1.1975,B
558,9.3,18.6,44.19,4.7,1.008064516,D
558,9.3,18.6,44.19,4.7,1.185,D
558,9.3,18.6,44.19,4.7,1.67,D
484,4.84,2.42,48.39,1.6,1.101190476,D
447,7.06,0,49.41,1.2,1.547619048,C
39,0.56,0,8.33,1.1,1.6,B
484,9.89,0,46.15,3.3,1.9175,C
484,4.84,2.42,48.39,1.6,2.120141343,D
36.70886076,0,0,9.282700422,0,0.40625,B
304.7619048,0,0,80.95238095,0,0.40625,D
333,0,0,90,0,0,D
622,2.5,0.1,4.5,0,0,C
0,3.8,0,48.1,6,0,C
33.33333333,0,0,6.666666667,0,0.131578947,B
107,0,0,14.29,0,0.05,C
